phenocode	name	category	num_cases	num_controls	gc_lambda	num_gw_significant
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	102	234437	0.71298	0
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	1101	253346	1.0331	0
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	I Certain infectious and parasitic diseases (AB1_)	1763	258642	1.0331	4
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	106	255615	0.74291	0
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	176	259010	0.84602	0
AB1_BACTINF_NOS	"Bacterial infection, other or unspecified"	I Certain infectious and parasitic diseases (AB1_)	25458	234755	1.0426	2
AB1_BACT_BIR_OTHER_INF_AGENTS	"Bacterial, viral and other infectious agents"	I Certain infectious and parasitic diseases (AB1_)	1708	258697	1.0235	0
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	3332	234437	1.0141	1
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	2404	255615	1.0331	2
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	1255	253346	1.0426	1
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	949	234437	1.0523	0
AB1_CMV	Cytomegaloviral disease	I Certain infectious and parasitic diseases (AB1_)	321	254126	0.95864	0
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	2001	255615	1.0188	1
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	191	253346	0.87114	0
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	1517	254126	1.0426	0
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	12160	234755	1.0669	1
